# turbineX, turbineY, turbineZ
2.528000000000000114e+02 2.528000000000000114e+02 1.103376769203978398e+02
5.056000000000000227e+02 2.528000000000000114e+02 1.103376769203978398e+02
7.583999999999999773e+02 2.528000000000001251e+02 1.103376769203978398e+02
1.011200000000000045e+03 2.528000000000000114e+02 1.103376769203978398e+02
1.264000000000000000e+03 2.528000000000000114e+02 1.103376769203978398e+02
2.527999999999998408e+02 5.056000000000000227e+02 1.103376769203978398e+02
5.055999999999999091e+02 5.056000000000000227e+02 1.103376769203978398e+02
7.583999999999998636e+02 5.056000000000001364e+02 1.103376769203978398e+02
1.011199999999999818e+03 5.056000000000000227e+02 1.103376769203978398e+02
1.263999999999999773e+03 5.056000000000000227e+02 1.103376769203978398e+02
2.528000000000000114e+02 7.583999999999999773e+02 1.103376769203978398e+02
5.056000000000000227e+02 7.583999999999999773e+02 1.103376769203978398e+02
7.583999999999999773e+02 7.584000000000002046e+02 1.103376769203978398e+02
1.011200000000000045e+03 7.584000000000000909e+02 1.103376769203978398e+02
1.264000000000000000e+03 7.583999999999995225e+02 1.103376769203978398e+02
2.528000000000000114e+02 1.011200000000000045e+03 1.103376769203978398e+02
5.056000000000000227e+02 1.011200000000000045e+03 1.103376769203978398e+02
7.583999999999999773e+02 1.011200000000000045e+03 1.103376769203978398e+02
1.011200000000000045e+03 1.011200000000000045e+03 1.103376769203978398e+02
1.264000000000000000e+03 1.011199999999999591e+03 1.103376769203978398e+02
2.528000000000000114e+02 1.264000000000000000e+03 1.103376769203978398e+02
5.056000000000000227e+02 1.264000000000000000e+03 1.103376769203978398e+02
7.583999999999999773e+02 1.264000000000000000e+03 1.103376769203978398e+02
1.011200000000000045e+03 1.264000000000000000e+03 1.103376769203978398e+02
1.264000000000000000e+03 1.263999999999999773e+03 1.103376769203978398e+02
